,5rSUMMARY mean_0,5rSUMMARY mean_d_h2h1_0,5rSUMMARY mean_q1_0,5rSUMMARY mean_q2_0,5rSUMMARY mean_q3_0,5rSUMMARY mean_q4_0,5rSUMMARY mean_d_q1q2_0,5rSUMMARY mean_d_q1q3_0,5rSUMMARY mean_d_q1q4_0,5rSUMMARY mean_d_q2q3_0,5rSUMMARY mean_d_q2q4_0,5rSUMMARY mean_d_q3q4_0,5rSUMMARY std_0,5rSUMMARY std_d_h2h1_0,5rSUMMARY max_0,5rSUMMARY max_d_h2h1_0,5rSUMMARY max_q1_0,5rSUMMARY max_q2_0,5rSUMMARY max_q3_0,5rSUMMARY max_q4_0,5rSUMMARY max_d_q1q2_0,5rSUMMARY max_d_q1q3_0,5rSUMMARY max_d_q1q4_0,5rSUMMARY max_d_q2q3_0,5rSUMMARY max_d_q2q4_0,5rSUMMARY max_d_q3q4_0,5rSUMMARY min_0,5rSUMMARY min_d_h2h1_0,5rSUMMARY min_q1_0,5rSUMMARY min_q2_0,5rSUMMARY min_q3_0,5rSUMMARY min_q4_0,5rSUMMARY min_d_q1q2_0,5rSUMMARY min_d_q1q3_0,5rSUMMARY min_d_q1q4_0,5rSUMMARY min_d_q2q3_0,5rSUMMARY min_d_q2q4_0,5rSUMMARY min_d_q3q4_0,5rSUMMARY topFreq_1_0,5rSUMMARY topFreq_2_0,5rSUMMARY topFreq_3_0,5rSUMMARY topFreq_4_0,5rSUMMARY topFreq_5_0,5rSUMMARY topFreq_6_0,5rSUMMARY topFreq_7_0,5rSUMMARY topFreq_8_0,5rSUMMARY topFreq_9_0,5rSUMMARY topFreq_10_0,5rSUMMARY freq_011_0,5rSUMMARY freq_021_0,5rSUMMARY freq_032_0,5rSUMMARY freq_043_0,5rSUMMARY freq_053_0,5rSUMMARY freq_064_0,5rSUMMARY freq_075_0,5rSUMMARY freq_085_0,5rSUMMARY freq_096_0,5rSUMMARY freq_107_0,5rSUMMARY freq_117_0,5rSUMMARY freq_128_0,5rSUMMARY freq_139_0,5rSUMMARY freq_149_0,5rSUMMARY freq_160_0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,51329374.485159546,102658731.38598347,14.80362965268877,2.7807059288751668,1.539802903916424,205317478.81649834,12.022923723813562,13.263826748772368,-205317464.01286927,1.2409030249587334,-205317476.03579396,-205317477.27669644,290360540.4893552,410631616.23782104,1642527655.0304563,1642527466.3448355,124.74341193973132,175.87035184440515,60.05853655006511,1642527655.0304563,-51.1269399046733,64.68487538966632,-1642527530.2870455,115.81181529433941,-1642527479.160101,-1642527594.9719217,-171.68640354972777,116.69387544423866,-56.1896678579534,-167.1230180342849,-53.20829682530586,0.0,110.93335017633218,-2.9813710326472314,-56.1896678579534,-113.91472120897956,-167.1230180342849,-53.20829682530586,2.8799999999999972,4.5866666666666775,9.586666666666675,8.906666666666695,11.373333333333376,10.186666666666683,11.386666666666704,14.082666666666677,13.44800000000002,13.829333333333361,0.12500049453240578,0.12499966066213013,0.12499928885139894,0.12499966049390246,0.12500031352254176,0.1250004789728363,0.1250000349938452,0.12499952492765752,0.12499948673261993,0.12499991970453621,0.12500030850056754,0.12500029907113172,0.12500004230214334,0.12499988736039326,0.12499992574555525
800,51329374.3382146,102658716.91279182,18.13224105600143,13.63139746217343,3.2238134816330652,205317462.36540607,4.500843593827989,14.90842757436851,-205317444.23316494,10.407583980540291,-205317448.73400864,-205317459.14159435,290360540.8038134,410631619.35120547,1642527656.607124,1642527451.7532465,153.29235761548776,172.63742783779315,85.22138768033676,1642527656.607124,-19.345070222304983,68.07096993515108,-1642527503.3147695,87.4160401574569,-1642527483.9696903,-1642527571.385727,-159.27738817147056,84.7508025580997,-59.70694608308737,-143.8232901925388,-64.86600043426574,0.0,84.11634410945311,5.1590543511784395,-59.70694608308737,-78.9572897582758,-143.8232901925388,-64.86600043426574,2.7599999999999936,4.706666666666681,10.120000000000035,8.479999999999986,11.266666666666698,12.218666666666834,9.114666666666569,14.600000000000053,13.887999999999995,13.11200000000007,0.12500048707226616,0.1249996780164979,0.12499929110507425,0.12499966488327185,0.12500030660828268,0.12500047587215696,0.12500003546678942,0.12499952995087824,0.12499949075501018,0.12499990774454267,0.12500030144789467,0.12500029619784084,0.12500005656013216,0.12499989147350588,0.12499993120281216
1200,51329374.83025214,102658732.12717682,16.31438382690781,1.2189442431042972,-0.01468810348415456,205317481.8023699,15.0954395838035,16.329071930392026,-205317465.48798442,1.2336323465883856,-205317480.5834251,-205317481.81706125,290360540.95579344,410631614.79983956,1642527657.931587,1642527470.674325,146.6247012492495,163.4996528376759,71.76353949643472,1642527657.931587,-16.87495158842652,74.86116175281524,-1642527511.3068876,91.73611334124182,-1642527494.431909,-1642527586.1680243,-199.40663815485576,100.7964144828723,-59.588538177383136,-176.25018941010865,-77.38507277263811,0.0,116.66165123272619,17.79653459525477,-59.588538177383136,-98.86511663747089,-176.25018941010865,-77.38507277263811,2.5066666666666557,4.960000000000021,8.896000000000013,9.842666666666707,11.128000000000032,11.514666666666773,9.818666666666577,14.141333333333412,14.007999999999988,13.450666666666717,0.12500049722186163,0.1249996616423631,0.124999282845741,0.12499965253185087,0.1250003113300817,0.12500047932796993,0.12500003972628337,0.12499952469978742,0.12499947951725464,0.12499990202494596,0.1250003015577285,0.12500029763691417,0.1250000574928512,0.12499988889062907,0.12499992428202612
1600,51329379.58431367,102658734.33121096,14.33972218147848,10.49769660792747,4.637322162542135,205317488.8625141,3.842025573550815,9.702400018936332,-205317474.52278987,5.860374445385264,-205317478.36481765,-205317484.2251938,290360540.3031373,410631614.32891965,1642527659.1089442,1642527456.0626066,126.5116116107667,190.41837180541955,75.81592624072564,1642527659.1089442,-63.90676019465192,50.695685370041794,-1642527532.5973442,114.6024455646924,-1642527468.690579,-1642527583.293007,-164.61836467682525,120.11509014631638,-56.72675225122627,-160.94199465574474,-44.17184832548027,0.0,104.21524240451807,-12.554903925745586,-56.72675225122627,-116.77014633026432,-160.94199465574474,-44.17184832548027,3.0000000000000004,4.466666666666674,9.213333333333368,9.941333333333342,10.712,11.442666666666792,10.058666666666577,13.994666666666706,13.837333333333332,13.60000000000004,0.12500049304630415,0.12499966770348957,0.124999279305783,0.12499966088132031,0.1250003142350869,0.12500048445802625,0.1250000384043118,0.124999521697973,0.12499948123560442,0.12499991315380181,0.1250003052468347,0.12500030260426198,0.12500004974790213,0.12499989107483556,0.12499992584750241
2000,51329371.83840875,102658721.38169424,14.30065707611675,7.994467265641713,-3.9006294682182796,205317468.9591364,6.306189810474856,18.201286544335034,-205317454.6584823,11.895096733859912,-205317460.96467334,-205317472.85976946,290360541.94394404,410631620.51000977,1642527660.355221,1642527466.232152,125.09690146172046,183.5393986316684,45.18659266523166,1642527660.355221,-58.44249716994676,79.9103087964885,-1642527535.2583225,138.35280596643514,-1642527476.815814,-1642527615.168617,-196.4106052178939,83.918027573462,-59.42592668927172,-159.10266442169302,-81.85398551407046,0.0,99.67673773242053,22.42805882479839,-59.42592668927172,-77.24867890762285,-159.10266442169302,-81.85398551407046,2.946666666666666,4.520000000000009,9.104000000000015,9.70133333333334,11.061333333333346,13.06666666666693,8.426666666666554,14.65866666666667,12.634666666666734,14.146666666666677,0.12500049100344512,0.12499966680353161,0.12499929060074855,0.12499966038206294,0.12500030505029586,0.12500047622671312,0.1250000272079299,0.12499953306794738,0.12499948275471585,0.12499991374815708,0.12500030076557977,0.12500029338148666,0.1250000510435534,0.12499988346869338,0.12499993054205914
2400,51329374.546532296,102658726.73455147,18.144894591871967,4.213620396050868,3.1495405430022525,205317472.67807588,13.931274195820926,14.995354048869663,-205317454.53317943,1.064079853048602,-205317468.4644548,-205317469.5285342,290360541.73668504,410631622.57925916,1642527661.9273705,1642527479.8366036,145.25811109749435,162.46774556705796,89.93867378223992,1642527661.9273705,-17.20963446956137,55.319437315254525,-1642527516.6692483,72.52907178481686,-1642527499.4596088,-1642527571.9886909,-180.28380686798172,86.69708954956808,-52.862047454759995,-152.9335125396478,-70.1852483086702,0.0,100.07146508488648,17.32320085390994,-52.862047454759995,-82.7482642309778,-152.9335125396478,-70.1852483086702,3.1066666666666705,4.360000000000005,10.042666666666666,8.573333333333379,11.2506666666667,10.986666666666729,10.346666666666588,14.261333333333404,13.266666666666698,14.072000000000013,0.12500049141639594,0.12499966519282696,0.1249992863305208,0.12499965854727085,0.12500031067055561,0.12500047979910472,0.12500004106220672,0.12499953008378659,0.12499948172370598,0.12499990715653204,0.1250003000939826,0.1250002994701177,0.12500005364873212,0.1249998929583521,0.12499992302628189
2800,51329371.1360567,102658712.37901777,14.953045580494543,14.940050713024283,0.7387350445029365,205317453.91239578,0.01299486747010198,14.21431053599158,-205317438.959352,14.201315668521275,-205317438.97234628,-205317453.17366287,290360542.6556986,410631625.6557934,1642527663.553723,1642527469.46023,121.84942896781884,184.48366158858818,72.4165054723485,1642527663.553723,-62.634232620768316,49.43292349547106,-1642527541.7042887,112.0671561162405,-1642527479.0700424,-1642527591.1372006,-162.0066769496854,72.9712445799607,-57.405619408262446,-137.42106809210577,-71.99319698382239,0.0,80.01544868384478,14.587577575559857,-57.405619408262446,-65.42787110828449,-137.42106809210577,-71.99319698382239,2.7333333333333263,4.7333333333333485,10.242666666666633,8.248000000000054,11.376000000000039,11.93066666666683,10.023999999999903,13.845333333333349,13.173333333333332,13.96000000000002,0.12500048195536922,0.12499968078810726,0.12499929671156965,0.12499967081033792,0.12500029908022628,0.12500047198798542,0.12500003211293892,0.12499953808395128,0.12499949225399469,0.1249999126430764,0.12500029972772594,0.12500029279349703,0.12500005427138633,0.12499989160554499,0.12499993238603681
3200,51329377.394490674,102658731.48874508,17.599422331907977,5.700815661922475,-0.11023142157414018,205317486.38795826,11.898606669985236,17.709653753481895,-205317468.78853482,5.811047083496607,-205317480.6871415,-205317486.49819043,290360541.7972102,410631617.7023437,1642527665.1067386,1642527468.4930997,154.46347587401,169.03701405698578,77.68998430178497,1642527665.1067386,-14.573538182973136,76.773491572225,-1642527510.643265,91.34702975519875,-1642527496.0697174,-1642527587.416751,-187.13378206305225,82.17785748802015,-59.30597670061399,-163.6828131625098,-84.08082063159276,0.0,104.37683646189507,24.774843930979245,-59.30597670061399,-79.60199253091633,-163.6828131625098,-84.08082063159276,3.066666666666669,4.400000000000006,9.871999999999984,8.306666666666723,11.688000000000077,10.866666666666736,10.346666666666597,14.370666666666732,13.91466666666666,13.434666666666716,0.1250004975046322,0.1249996628534721,0.12499927914495473,0.12499965131906704,0.12500031043911058,0.1250004854605594,0.12500004411406937,0.12499952882816427,0.12499947643625742,0.12499990117907629,0.12500029745441352,0.12500030609539503,0.12500005963769797,0.12499989462419009,0.12499991951824162
3600,51329370.86232247,102658724.94140539,13.660257910269086,3.122983871498414,2.5000788481187963,205317464.16597185,10.537274038770443,11.160179062150299,-205317450.50571328,0.6229050233796832,-205317461.04298726,-205317461.66589358,290360543.2940452,410631625.13379633,1642527666.77788,1642527491.4325068,117.7436838778976,159.15353622772912,82.08496601150678,1642527666.77788,-41.40985234982977,35.65871786639083,-1642527549.0341957,77.06857021622102,-1642527507.6243212,-1642527584.6929018,-173.89007504132994,95.57153107931805,-56.55416000107812,-159.49506821990985,-67.53689226181025,0.0,102.94090821883174,10.982732260732648,-56.55416000107812,-91.95817595809922,-159.49506821990985,-67.53689226181025,2.359999999999991,5.106666666666692,9.72533333333328,8.834666666666742,11.306666666666707,11.018666666666729,10.31466666666659,14.178666666666743,13.919999999999993,13.50133333333338,0.12500048950138523,0.12499966964256073,0.12499929381490027,0.12499966033731023,0.12500030695792094,0.12500047356956084,0.12500004039091217,0.12499953460920814,0.12499948852425373,0.1249999105928544,0.125000297882771,0.1250002977076731,0.12500005493480237,0.12499989326357161,0.12499992171887836
