new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
False,402,56,3,1,False,False,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,117.79169416427612,117.79164600372314,30.65217391304348,1.391304347826087,0.0434782608695652,0.3478260869565217,0.3043478260869565,56.0,3.0,0.0,0.0,56.0,3.0
False,404,60,3,1,False,False,1,2.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,123.13455009460448,123.13450503349304,31.875,1.4583333333333333,0.0416666666666666,0.375,0.3333333333333333,60.0,3.0,0.0,0.0,60.0,3.0
False,410,62,3,1,False,False,1,6.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,128.4205870628357,128.42054295539856,33.08,1.52,0.04,0.4,0.36,62.0,3.0,0.0,0.0,62.0,3.0
False,434,63,3,1,False,False,1,24.0,1.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,133.77071905136108,133.77068519592285,34.23076923076923,1.5769230769230769,0.0384615384615384,0.4230769230769231,0.3846153846153846,63.0,3.0,0.0,0.0,63.0,3.0
False,464,72,3,1,False,False,1,30.0,9.0,0.0,30.0,9.0,0.0,0.0,0.0,0.0,139.09620714187622,139.09618711471558,35.629629629629626,1.6296296296296295,0.037037037037037,0.4444444444444444,0.4074074074074074,72.0,3.0,0.0,0.0,72.0,3.0
False,496,77,3,1,False,False,1,32.0,5.0,0.0,32.0,5.0,0.0,0.0,0.0,0.0,144.40276098251343,144.4027383327484,37.10714285714285,1.6785714285714286,0.0357142857142857,0.4642857142857143,0.4285714285714285,77.0,3.0,0.0,0.0,77.0,3.0
False,516,81,3,1,False,False,1,20.0,4.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,149.65504717826843,149.65502309799194,38.62068965517241,1.7241379310344829,0.0344827586206896,0.4827586206896552,0.4482758620689655,81.0,3.0,0.0,0.0,81.0,3.0
False,560,88,4,1,False,False,1,44.0,7.0,1.0,44.0,7.0,1.0,0.0,0.0,0.0,155.0037031173706,155.00361227989197,40.266666666666666,1.8,0.0333333333333333,0.5,0.4666666666666667,88.0,4.0,0.0,0.0,88.0,4.0
False,594,92,4,1,False,False,1,34.0,4.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,160.28281807899475,160.2827751636505,41.935483870967744,1.870967741935484,0.032258064516129,0.5161290322580645,0.4838709677419355,92.0,4.0,0.0,0.0,92.0,4.0
False,626,97,4,1,False,False,1,32.0,5.0,0.0,32.0,5.0,0.0,0.0,0.0,0.0,165.5598599910736,165.5598361492157,43.65625,1.9375,0.03125,0.53125,0.5,97.0,4.0,0.0,0.0,97.0,4.0
