,charcount,wordcount,sentencecount,standby,number of standby,roadblock number,chars prodocued,words produced,sentences produced,chars deleted,words deleted,sentences deleted,change in charcount,change in wordcount,change in sentencecount,5rSUMMARY charcount,5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
126,127,1970,325,18,False,31,9,29.0,7.0,0.0,29.0,7.0,0.0,0.0,0.0,0.0,286.6333333333333,15.983333333333333,0.2166666666666666,23.433333333333334,6.25,80.0,5.0,22.0,1.0,58.0,4.0
127,128,1990,328,18,False,31,9,20.0,3.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,287.65,16.05,0.2,23.633333333333333,6.333333333333333,83.0,5.0,22.0,1.0,61.0,4.0
128,129,2015,332,18,False,31,9,25.0,4.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,288.7333333333333,16.116666666666667,0.2,23.83333333333333,6.416666666666667,87.0,5.0,22.0,1.0,65.0,4.0
129,130,2033,336,19,False,31,9,18.0,4.0,1.0,18.0,4.0,1.0,0.0,0.0,0.0,289.81666666666666,16.2,0.2,24.03333333333333,6.5,87.0,6.0,22.0,1.0,65.0,5.0
130,131,2053,340,19,False,31,9,20.0,4.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,290.93333333333334,16.283333333333335,0.2,24.23333333333333,6.583333333333333,89.0,6.0,22.0,1.0,67.0,5.0
131,132,2086,344,19,False,31,9,33.0,4.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,292.1166666666667,16.366666666666667,0.2,24.433333333333334,6.666666666666667,93.0,6.0,22.0,1.0,71.0,5.0
132,133,2116,348,19,False,31,9,30.0,4.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,293.46666666666664,16.45,0.2,24.633333333333333,6.75,97.0,6.0,16.0,1.0,81.0,5.0
133,134,2134,349,20,False,31,9,18.0,1.0,1.0,18.0,1.0,1.0,0.0,0.0,0.0,294.85,16.55,0.2,24.83333333333333,6.833333333333333,98.0,7.0,15.0,1.0,83.0,6.0
134,135,2147,351,20,False,31,9,13.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,296.21666666666664,16.65,0.2,25.03333333333333,6.916666666666667,97.0,7.0,15.0,1.0,82.0,6.0
135,136,2147,351,20,False,31,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.51666666666665,16.733333333333334,0.2,25.23333333333333,7.0,93.0,6.0,15.0,1.0,78.0,5.0
136,137,2184,360,20,False,31,9,37.0,9.0,0.0,37.0,9.0,0.0,0.0,0.0,0.0,298.9166666666667,16.816666666666666,0.2,25.433333333333334,7.083333333333333,99.0,6.0,15.0,1.0,84.0,5.0
137,138,2184,360,20,False,31,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.31666666666666,16.9,0.2,25.633333333333333,7.166666666666667,99.0,6.0,15.0,1.0,84.0,5.0
138,139,2184,360,20,True,32,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.71666666666664,16.983333333333334,0.2,25.83333333333333,7.25,99.0,6.0,15.0,1.0,84.0,5.0
139,140,2205,363,20,False,32,9,21.0,3.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,303.1333333333333,17.066666666666666,0.2,26.03333333333333,7.333333333333333,100.0,6.0,15.0,1.0,85.0,5.0
140,141,2214,364,20,False,32,9,9.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,304.56666666666666,17.15,0.2,26.23333333333333,7.416666666666667,101.0,6.0,15.0,1.0,86.0,5.0
141,142,2217,366,20,False,32,9,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,306.03333333333336,17.233333333333334,0.2,26.433333333333334,7.483333333333333,103.0,6.0,15.0,1.0,88.0,5.0
142,143,2247,371,20,False,32,9,30.0,5.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,307.6666666666667,17.316666666666666,0.2,26.633333333333333,7.55,108.0,6.0,10.0,1.0,98.0,5.0
143,144,2283,376,21,False,32,9,36.0,5.0,1.0,36.0,5.0,1.0,0.0,0.0,0.0,309.3833333333333,17.416666666666668,0.2,26.83333333333333,7.6,113.0,7.0,10.0,1.0,103.0,6.0
144,145,2283,376,21,False,32,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.1333333333333,17.516666666666666,0.2,27.03333333333333,7.65,113.0,7.0,8.0,1.0,105.0,6.0
145,146,2283,376,21,True,33,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.85,17.616666666666667,0.2166666666666666,27.25,7.7,111.0,7.0,8.0,1.0,103.0,6.0
146,147,2283,376,21,True,34,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.46666666666664,17.716666666666665,0.2333333333333333,27.48333333333333,7.75,105.0,7.0,8.0,1.0,97.0,6.0
147,148,2283,376,21,True,35,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.03333333333336,17.816666666666666,0.25,27.73333333333333,7.8,102.0,7.0,8.0,1.0,94.0,6.0
148,149,2283,376,21,True,36,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.6,17.9,0.2666666666666666,28.0,7.85,102.0,6.0,8.0,1.0,94.0,5.0
149,150,2283,376,21,True,37,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.1666666666667,17.983333333333334,0.2833333333333333,28.28333333333333,7.9,102.0,6.0,8.0,1.0,94.0,5.0
150,151,2303,378,21,False,37,9,20.0,2.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,320.76666666666665,18.066666666666663,0.2666666666666666,28.55,7.95,104.0,6.0,8.0,1.0,96.0,5.0
151,152,2320,383,21,False,37,9,17.0,5.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,322.45,18.15,0.2666666666666666,28.816666666666663,8.0,109.0,6.0,8.0,1.0,101.0,5.0
152,153,2320,383,21,False,37,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.1333333333333,18.23333333333333,0.2666666666666666,29.08333333333333,8.05,109.0,6.0,8.0,1.0,101.0,5.0
153,154,2328,385,21,False,37,10,8.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,325.85,18.316666666666663,0.25,29.33333333333333,8.116666666666667,111.0,6.0,8.0,1.0,103.0,5.0
154,155,2355,392,21,False,37,10,27.0,7.0,0.0,27.0,7.0,0.0,0.0,0.0,0.0,327.71666666666664,18.4,0.2333333333333333,29.566666666666663,8.183333333333334,118.0,6.0,6.0,1.0,112.0,5.0
155,156,2377,396,21,False,37,11,22.0,4.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,329.6166666666667,18.48333333333333,0.2333333333333333,29.8,8.266666666666667,120.0,6.0,6.0,1.0,114.0,5.0
156,157,2402,400,21,False,37,11,25.0,4.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,331.5833333333333,18.566666666666663,0.2333333333333333,30.03333333333333,8.35,124.0,6.0,6.0,1.0,118.0,5.0
157,158,2402,400,21,False,37,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.56666666666666,18.65,0.2333333333333333,30.266666666666666,8.433333333333334,124.0,6.0,5.0,1.0,119.0,5.0
158,159,2402,400,21,True,38,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.53333333333336,18.73333333333333,0.25,30.516666666666666,8.516666666666667,123.0,6.0,5.0,1.0,118.0,5.0
159,160,2425,405,21,False,38,11,23.0,5.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,337.5833333333333,18.816666666666663,0.25,30.766666666666666,8.6,128.0,6.0,5.0,1.0,123.0,5.0
160,161,2429,405,21,False,38,11,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,339.6333333333333,18.9,0.25,31.016666666666666,8.666666666666666,128.0,6.0,5.0,1.0,123.0,5.0
161,162,2429,405,21,False,38,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.68333333333334,18.98333333333333,0.2333333333333333,31.25,8.733333333333333,128.0,6.0,5.0,1.0,123.0,5.0
162,163,2436,405,21,False,38,11,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,343.7333333333333,19.066666666666663,0.2166666666666666,31.466666666666665,8.8,128.0,6.0,5.0,1.0,123.0,5.0
163,164,2449,407,21,False,38,11,13.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,345.7333333333333,19.15,0.2166666666666666,31.683333333333334,8.866666666666667,125.0,6.0,5.0,1.0,120.0,5.0
164,165,2466,412,21,False,38,11,17.0,5.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,347.81666666666666,19.23333333333333,0.2166666666666666,31.9,8.933333333333334,130.0,6.0,5.0,1.0,125.0,5.0
165,166,2466,412,21,False,38,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.9,19.316666666666663,0.2166666666666666,32.11666666666667,9.0,130.0,6.0,5.0,1.0,125.0,5.0
166,167,2467,411,22,False,38,11,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,351.96666666666664,19.416666666666668,0.2166666666666666,32.333333333333336,9.066666666666666,130.0,7.0,6.0,1.0,124.0,6.0
167,168,2477,414,22,False,38,11,10.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,354.05,19.516666666666666,0.2166666666666666,32.55,9.133333333333333,131.0,7.0,6.0,1.0,125.0,6.0
168,169,2509,420,22,False,38,11,32.0,6.0,0.0,32.0,6.0,0.0,0.0,0.0,0.0,356.2333333333333,19.616666666666667,0.2166666666666666,32.766666666666666,9.2,137.0,7.0,6.0,1.0,131.0,6.0
169,170,2524,424,22,False,38,11,15.0,4.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,358.4833333333333,19.716666666666665,0.2166666666666666,32.983333333333334,9.266666666666667,141.0,7.0,6.0,1.0,135.0,6.0
170,171,2524,424,22,False,38,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.73333333333335,19.816666666666663,0.2,33.18333333333333,9.333333333333334,141.0,7.0,6.0,1.0,135.0,6.0
171,172,2524,424,22,True,39,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.9333333333333,19.9,0.2166666666666666,33.4,9.4,138.0,6.0,6.0,1.0,132.0,5.0
172,173,2524,424,22,True,40,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.05,19.98333333333333,0.2333333333333333,33.63333333333333,9.483333333333333,133.0,6.0,6.0,1.0,127.0,5.0
173,174,2534,425,22,False,40,12,10.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,367.1333333333333,20.066666666666663,0.2333333333333333,33.86666666666667,9.566666666666666,131.0,6.0,6.0,1.0,125.0,5.0
174,175,2534,425,22,False,40,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.06666666666666,20.133333333333333,0.2333333333333333,34.1,9.65,122.0,5.0,6.0,1.0,116.0,4.0
175,176,2534,425,22,True,41,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,20.2,0.25,34.35,9.733333333333333,122.0,5.0,6.0,1.0,116.0,4.0
176,177,2534,425,22,True,42,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.9333333333333,20.266666666666666,0.25,34.6,9.816666666666666,122.0,5.0,6.0,1.0,116.0,4.0
177,178,2534,425,22,True,43,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.8666666666667,20.33333333333333,0.25,34.85,9.883333333333333,122.0,5.0,6.0,1.0,116.0,4.0
178,179,2534,425,22,True,44,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8,20.4,0.25,35.1,9.95,122.0,5.0,6.0,1.0,116.0,4.0
179,180,2534,425,22,True,45,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.73333333333335,20.466666666666665,0.25,35.35,10.0,122.0,5.0,6.0,1.0,116.0,4.0
180,181,2534,425,22,True,46,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.6666666666667,20.53333333333333,0.25,35.6,10.05,122.0,5.0,6.0,1.0,116.0,4.0
181,182,2534,425,22,True,47,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.6833333333333,20.616666666666667,0.2666666666666666,35.86666666666667,10.1,122.0,5.0,1.0,0.0,121.0,5.0
182,183,2534,425,22,True,48,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.6666666666667,20.683333333333334,0.2833333333333333,36.15,10.15,120.0,4.0,1.0,0.0,119.0,4.0
183,184,2534,425,22,True,49,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.6,20.75,0.3,36.45,10.2,117.0,4.0,1.0,0.0,116.0,4.0
184,185,2540,426,22,False,49,12,6.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,388.4666666666666,20.816666666666663,0.3,36.75,10.25,113.0,4.0,1.0,0.0,112.0,4.0
185,186,2569,429,22,False,49,12,29.0,3.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,390.31666666666666,20.883333333333333,0.3,37.05,10.3,112.0,4.0,1.0,0.0,111.0,4.0
186,187,2549,428,23,False,49,12,-20.0,-1.0,1.0,0.0,0.0,1.0,20.0,1.0,0.0,392.03333333333336,20.966666666666665,0.3,37.35,10.35,105.0,5.0,2.0,0.0,103.0,5.0
187,188,2557,429,23,False,49,12,8.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,393.7166666666666,21.05,0.3,37.65,10.4,103.0,5.0,2.0,0.0,101.0,5.0
188,189,2555,429,23,False,49,12,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,395.3333333333333,21.133333333333333,0.3,37.95,10.45,99.0,5.0,2.0,0.0,97.0,5.0
189,190,2576,435,23,False,49,12,21.0,6.0,0.0,21.0,6.0,0.0,0.0,0.0,0.0,396.98333333333335,21.2,0.3,38.25,10.5,101.0,4.0,2.0,0.0,99.0,4.0
190,191,2606,441,23,False,49,12,30.0,6.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,398.6666666666667,21.266666666666666,0.3,38.55,10.55,103.0,4.0,2.0,0.0,101.0,4.0
